,user_id,user_name,user_screen_name,user_profile_image_url,tweet_id,tweet_full_text,tweet_favorite_count,tweet_created_at
28,86922802,カンバリック,cambrick,http://pbs.twimg.com/profile_images/1420280643586383874/zWXYOpav.jpg,1424520787843682309,"@sin_endlicheri あ、本当だ、失礼しました。
おちんちんチョロッ さん🤣🤣🤣",1,2021-08-09 08:59:56
25,127864039,灯屋はる,akariya0309,http://pbs.twimg.com/profile_images/1358425287919165441/NnknPEk0.jpg,1424520790569934852,あ～～好き,0,2021-08-09 08:59:57
32,473818699,Fumihiko Kimura,Grevillius7,http://pbs.twimg.com/profile_images/1200165185677185025/MHfU1Tit.jpg,1424520783657803776,雨音聴きながらプロレタリア的桎梏から離れて音楽たあ至福。ドヴォルザークの交響曲第5番をマルティン・トゥルノフスキー指揮バンベルク響にて。素敵な曲だ。 https://t.co/9Y5RFPSjj0,26,2021-08-09 08:59:55
19,779546786,高杉晋作bot,takasugi439_bot,http://pbs.twimg.com/profile_images/3078212235/b827ca6b146fa26c8eeae04f58736b3b.png,1424520792809816065,桂さん。手紙で僕の事を諌めながら、ご自分も金を無心されるのは如何なもんかと思うのですが...　あ、まあ僕がえらそーに言えた義理じゃないのは十分わかっちょります...,0,2021-08-09 08:59:57
91,829626336,Slasher,necromorph_bot,http://pbs.twimg.com/profile_images/3303030912/e49c7900da1523d3f1628e92b77a5604.jpeg,1424520748937269257,アイザックさんにサイン貰おうとしたらプラズマカッターで手を切られそうになったんだあ・・・,0,2021-08-09 08:59:47
83,1121246088,피,Teuk_Lay,http://pbs.twimg.com/profile_images/560698743888949248/chKZTdqK.jpeg,1424520753475559424,"♡♡さえぴ
りあちんだよっっどんへぱぱ",0,2021-08-09 08:59:48
27,1171096560,実高bot,mi_taka_bot,http://pbs.twimg.com/profile_images/378800000185868197/40af260d7a0629b1e086b54d346daa4a.jpeg,1424520787948494848,"「あっちー……最近めっきり暑くなりやがってちくしょー………っあ""ーほんとあっちい！！汗ヤバい！！！だから、ね？実渕さんいい加減離れて下さい暑いから、俺溶けちゃうから」",0,2021-08-09 08:59:56
26,1201763354,Mr.フリーダム(bot),Mr_freedom_bot,http://pbs.twimg.com/profile_images/450896918806142977/jIixj3RM.png,1424520789198467072,ムラクモはオブジェを雪崩のように投げつけてくるから好きじゃな…あ、ムラクモいつからそこに…っていたたたたた！？,0,2021-08-09 08:59:57
0,1207230366,ひらおぼっと,hirao_haha_bot,http://pbs.twimg.com/profile_images/378800000364403642/845f0d493a5b11bc0f1fa1360999bfff.jpeg,1424520801131192325,"平尾『なあ、妄想すきなん？』
私「あ、はい…」
平尾『俺も好き♪』",0,2021-08-09 08:59:59
71,1217224286,れなちょこ,renachoc_nico,http://pbs.twimg.com/profile_images/1043533041124048896/V1my884H.jpg,1424520760924594177,ねむむむ…あ、いつものことか,0,2021-08-09 08:59:50
46,1228032780,瀬尾 結月,Yuduki_S_L,http://pbs.twimg.com/profile_images/3320348393/2c7cb7aad06fd64995edac89bc6c0fd9.jpeg,1424520776061919233,あ…やべぇ 今くしゃみ出そう…,0,2021-08-09 08:59:53
77,1245350690,風を聴く者ラーネイレ+イッパロトルbot,larnneire_bot,http://pbs.twimg.com/profile_images/1112656567290093568/wZ9tqf63.png,1424520757980262402,"冒険者「パンティおいしい、パンティおいしい！」

少年A「うわ、あの人下着食ってるよキモくない？」
少年B「あ、ギャルのパンティだ！いいな美味しそう！」
少年A「えっ」
少女A「私今日朝のごはんパンティだったよ」
少年A「えっ」

冒険者「パンティおいしい！パンティおいしい！」",0,2021-08-09 08:59:49
17,1248365857,ネイティオ,neitexio_bot,http://pbs.twimg.com/profile_images/3353678359/0ea26c4c2a07c36286a6d75ad41fd86b.jpeg,1424520794013454339,オクタンとかドククラゲとか、触手が･･･あ、いや、トゥートゥー,0,2021-08-09 08:59:58
